"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 15 23:55:27 GMT 2023","Fri Dec 15 23:55:32 GMT 2023","4529","Chrome desktop web","Accounts suite","","","","Buy a product | @e2e",""
"passed","Fri Dec 15 23:55:22 GMT 2023","Fri Dec 15 23:55:23 GMT 2023","573","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"passed","Fri Dec 15 23:55:38 GMT 2023","Fri Dec 15 23:55:38 GMT 2023","358","Chrome desktop web","Accounts suite","","","","Extra test just for Report 2 | @e2e",""
"failed","Fri Dec 15 23:55:41 GMT 2023","Fri Dec 15 23:55:42 GMT 2023","672","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"passed","Fri Dec 15 23:55:21 GMT 2023","Fri Dec 15 23:55:22 GMT 2023","669","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"passed","Fri Dec 15 23:55:19 GMT 2023","Fri Dec 15 23:55:21 GMT 2023","2366","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"failed","Fri Dec 15 23:55:43 GMT 2023","Fri Dec 15 23:55:44 GMT 2023","887","Chrome desktop web","Smoke suite","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"failed","Fri Dec 15 23:55:35 GMT 2023","Fri Dec 15 23:55:38 GMT 2023","2439","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"failed","Fri Dec 15 23:55:46 GMT 2023","Fri Dec 15 23:55:46 GMT 2023","728","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"passed","Fri Dec 15 23:55:38 GMT 2023","Fri Dec 15 23:55:40 GMT 2023","1966","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"passed","Fri Dec 15 23:55:22 GMT 2023","Fri Dec 15 23:55:22 GMT 2023","551","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
